customer_id,frecuencia,gasto_total,cluster,segmento_ml
1001,1,990.27,0,Bronze (Casuales)
1002,1,4941.87,3,Gold (High Ticket)
1003,1,710.03,0,Bronze (Casuales)
1004,1,6879.049999999999,3,Gold (High Ticket)
1006,1,6372.4,3,Gold (High Ticket)
1009,1,1924.88,0,Bronze (Casuales)
1011,3,11963.4,2,Platinum (VIP)
1017,1,3716.37,0,Bronze (Casuales)
1018,1,1038.0,0,Bronze (Casuales)
1019,1,2810.91,0,Bronze (Casuales)
1020,1,941.6,0,Bronze (Casuales)
1023,1,3193.8,0,Bronze (Casuales)
1025,1,959.32,0,Bronze (Casuales)
1027,1,939.33,0,Bronze (Casuales)
1029,1,5947.64,3,Gold (High Ticket)
1035,2,6618.5599999999995,1,Silver (Leales)
1040,1,357.4,0,Bronze (Casuales)
1042,2,2578.0699999999997,1,Silver (Leales)
1043,1,2130.04,0,Bronze (Casuales)
1044,1,5974.92,3,Gold (High Ticket)
1046,1,4728.36,3,Gold (High Ticket)
1049,1,6978.24,3,Gold (High Ticket)
1053,1,3969.52,0,Bronze (Casuales)
1056,1,131.1,0,Bronze (Casuales)
1058,1,1342.76,0,Bronze (Casuales)
1062,1,2423.04,0,Bronze (Casuales)
1067,1,5756.04,3,Gold (High Ticket)
1071,1,2564.45,0,Bronze (Casuales)
1072,1,7093.8,3,Gold (High Ticket)
1076,2,5703.39,1,Silver (Leales)
1077,1,1017.0,0,Bronze (Casuales)
1079,1,9369.8,3,Gold (High Ticket)
1082,1,7793.8,3,Gold (High Ticket)
1084,1,1408.72,0,Bronze (Casuales)
1085,1,2498.88,0,Bronze (Casuales)
1086,2,11730.2,2,Platinum (VIP)
1089,1,1258.17,0,Bronze (Casuales)
1090,1,1389.13,0,Bronze (Casuales)
1092,1,3404.08,0,Bronze (Casuales)
1096,2,5953.959999999999,1,Silver (Leales)
1100,1,951.96,0,Bronze (Casuales)
1104,2,716.96,1,Silver (Leales)
1106,1,7517.05,3,Gold (High Ticket)
1108,3,14898.220000000001,2,Platinum (VIP)
1110,1,3801.12,0,Bronze (Casuales)
1111,1,251.06,0,Bronze (Casuales)
1116,1,3312.2000000000003,0,Bronze (Casuales)
1117,2,2207.83,1,Silver (Leales)
1118,1,5838.0,3,Gold (High Ticket)
1120,2,6307.549999999999,1,Silver (Leales)
1125,1,394.32,0,Bronze (Casuales)
1126,1,1726.28,0,Bronze (Casuales)
1128,1,3541.36,0,Bronze (Casuales)
1130,1,4624.74,3,Gold (High Ticket)
1132,2,2281.34,1,Silver (Leales)
1133,1,7844.700000000001,3,Gold (High Ticket)
1134,1,8987.35,3,Gold (High Ticket)
1136,1,5584.35,3,Gold (High Ticket)
1137,1,1390.69,0,Bronze (Casuales)
1138,2,9684.39,2,Platinum (VIP)
1144,1,2670.1,0,Bronze (Casuales)
1145,1,1989.44,0,Bronze (Casuales)
1146,1,363.94,0,Bronze (Casuales)
1149,2,1480.4800000000002,1,Silver (Leales)
1151,1,402.04,0,Bronze (Casuales)
1152,3,8736.16,2,Platinum (VIP)
1153,1,5057.85,3,Gold (High Ticket)
1154,1,764.54,0,Bronze (Casuales)
1157,2,2684.04,1,Silver (Leales)
1158,2,1715.54,1,Silver (Leales)
1159,2,646.3399999999999,1,Silver (Leales)
1166,1,1359.32,0,Bronze (Casuales)
1172,2,13025.609999999999,2,Platinum (VIP)
1173,1,3990.56,0,Bronze (Casuales)
1175,1,6801.8,3,Gold (High Ticket)
1182,1,7602.92,3,Gold (High Ticket)
